#drkcfile delivery-date activation-date delivery-mjd activation-mjd useafter useafter-mjd
01l21081i_dkc.fits 2016-01-21 2016-02-23 57408.789583 57441.766667 2009-05-11 54962.0
39i1628mi_dkc.fits 2019-09-18 2019-09-18 58744.519444 58744.60625 2009-08-21 55064.114583
zcv1957gi_dkc.fits 2016-01-21 2016-02-23 57408.621528 57441.766667 2009-08-22 55065.619444
39i1632gi_dkc.fits 2019-09-18 2019-09-18 58744.522222 58744.60625 2009-08-23 55066.095139
39i1621ci_dkc.fits 2019-09-18 2019-09-18 58744.514583 58744.60625 2009-08-24 55067.665278
zcv1924di_dkc.fits 2016-01-08 2016-02-23 57395.566667 57441.766667 2009-08-25 55068.627083
39i16289i_dkc.fits 2019-09-18 2019-09-18 58744.519444 58744.60625 2009-08-26 55069.609722
39i1626pi_dkc.fits 2019-09-18 2019-09-18 58744.518056 58744.60625 2009-08-28 55071.160417
zcv1924gi_dkc.fits 2016-01-08 2016-02-23 57395.566667 57441.766667 2009-08-29 55072.022222
39i16523i_dkc.fits 2019-09-18 2019-09-18 58744.536111 58744.60625 2009-08-29 55072.157639
39i16568i_dkc.fits 2019-09-18 2019-09-18 58744.538889 58744.60625 2009-08-30 55073.027083
39i1703ti_dkc.fits 2019-09-18 2019-09-18 58744.544444 58744.60625 2009-08-30 55073.927778
39i1634bi_dkc.fits 2019-09-18 2019-09-18 58744.523611 58744.60625 2009-09-01 55075.005556
39i1644ci_dkc.fits 2019-09-18 2019-09-18 58744.530556 58744.60625 2009-09-02 55076.025694
39i1647hi_dkc.fits 2019-09-18 2019-09-18 58744.532639 58744.60625 2009-09-03 55077.005556
39i16553i_dkc.fits 2019-09-18 2019-09-18 58744.538194 58744.60625 2009-09-04 55078.102083
39i16528i_dkc.fits 2019-09-18 2019-09-18 58744.536111 58744.60625 2009-09-05 55079.131944
39i16333i_dkc.fits 2019-09-18 2019-09-18 58744.522917 58744.60625 2009-09-06 55080.0625
39i16597i_dkc.fits 2019-09-18 2019-09-18 58744.540972 58744.60625 2009-09-06 55080.666667
39i1626ki_dkc.fits 2019-09-18 2019-09-18 58744.518056 58744.60625 2009-09-07 55081.595833
39i1643li_dkc.fits 2019-09-18 2019-09-18 58744.529861 58744.60625 2009-09-09 55083.058333
39i16281i_dkc.fits 2019-09-18 2019-09-18 58744.519444 58744.60625 2009-09-10 55084.229167
39i1622oi_dkc.fits 2019-09-18 2019-09-18 58744.515278 58744.60625 2009-09-11 55085.338889
39i16430i_dkc.fits 2019-09-18 2019-09-18 58744.529861 58744.60625 2009-09-14 55088.854167
zcv1924qi_dkc.fits 2016-01-08 2016-02-23 57395.567361 57441.766667 2009-09-14 55088.854167
39i16517i_dkc.fits 2019-09-18 2019-09-18 58744.535417 58744.60625 2009-09-16 55090.102778
zcv1924ti_dkc.fits 2016-01-08 2016-02-23 57395.568056 57441.766667 2009-09-18 55092.017361
zcv1924si_dkc.fits 2016-01-08 2016-02-23 57395.568056 57441.766667 2009-09-18 55092.14375
39i16343i_dkc.fits 2019-09-18 2019-09-18 58744.523611 58744.60625 2009-09-18 55092.194444
39i1624mi_dkc.fits 2019-09-18 2019-09-18 58744.516667 58744.60625 2009-09-20 55094.05
39i1649ti_dkc.fits 2019-09-18 2019-09-18 58744.534722 58744.60625 2009-09-20 55094.142361
39i16428i_dkc.fits 2019-09-18 2019-09-18 58744.529167 58744.60625 2009-09-21 55095.125
39i1617ei_dkc.fits 2019-09-18 2019-09-18 58744.511806 58744.60625 2009-09-23 55097.052778
zcv19254i_dkc.fits 2016-01-08 2016-02-23 57395.568056 57441.766667 2009-09-24 55098.001389
39i16300i_dkc.fits 2019-09-18 2019-09-18 58744.520833 58744.60625 2009-09-24 55098.013194
39i16171i_dkc.fits 2019-09-18 2019-09-18 58744.511806 58744.60625 2009-09-25 55099.001389
39i1629di_dkc.fits 2019-09-18 2019-09-18 58744.520139 58744.60625 2009-09-26 55100.202083
zcv1927mi_dkc.fits 2016-01-11 2016-02-23 57398.59375 57441.766667 2009-09-27 55101.469444
39i1629mi_dkc.fits 2019-09-18 2019-09-18 58744.520139 58744.60625 2009-09-28 55102.427778
39i16189i_dkc.fits 2019-09-18 2019-09-18 58744.5125 58744.60625 2009-09-29 55103.133333
39i1648pi_dkc.fits 2019-09-18 2019-09-18 58744.533333 58744.60625 2009-09-30 55104.311111
39i16328i_dkc.fits 2019-09-18 2019-09-18 58744.522222 58744.60625 2009-10-01 55105.170139
zcv1927ri_dkc.fits 2016-01-11 2016-02-23 57398.59375 57441.766667 2009-10-02 55106.098611
39i1658li_dkc.fits 2019-09-18 2019-09-18 58744.540278 58744.60625 2009-10-02 55106.375694
zcv1927si_dkc.fits 2016-01-11 2016-02-23 57398.594444 57441.766667 2009-10-03 55107.252083
39i1638li_dkc.fits 2019-09-18 2019-09-18 58744.526389 58744.60625 2009-10-03 55107.305556
39i1656pi_dkc.fits 2019-09-18 2019-09-18 58744.538889 58744.60625 2009-10-04 55108.371528
zcv19280i_dkc.fits 2016-01-11 2016-02-23 57398.594444 57441.766667 2009-10-05 55109.123611
39i1654oi_dkc.fits 2019-09-18 2019-09-18 58744.5375 58744.60625 2009-10-05 55109.301389
zcv19281i_dkc.fits 2016-01-11 2016-02-23 57398.594444 57441.766667 2009-10-06 55110.124306
39i1658gi_dkc.fits 2019-09-18 2019-09-18 58744.540278 58744.60625 2009-10-06 55110.232639
39i16434i_dkc.fits 2019-09-18 2019-09-18 58744.529861 58744.60625 2009-10-07 55111.111806
39i1658pi_dkc.fits 2019-09-18 2019-09-18 58744.540278 58744.60625 2009-10-08 55112.307639
39i16384i_dkc.fits 2019-09-18 2019-09-18 58744.526389 58744.60625 2009-10-09 55113.242361
39i1646gi_dkc.fits 2019-09-18 2019-09-18 58744.531944 58744.60625 2009-10-11 55115.222222
39i16503i_dkc.fits 2019-09-18 2019-09-18 58744.534722 58744.60625 2009-10-12 55116.41875
39i1627bi_dkc.fits 2019-09-18 2019-09-18 58744.51875 58744.60625 2009-10-16 55120.519444
zcv19288i_dkc.fits 2016-01-11 2016-02-23 57398.595139 57441.766667 2009-10-18 55122.111806
39i16181i_dkc.fits 2019-09-18 2019-09-18 58744.5125 58744.60625 2009-10-18 55122.371528
